date,rain_mm,temp_c,bike_trips,bike_avg_duration_min,traffic_count,no2_ug_m3,year,month,month_number,weekday,weekday_number,is_weekend,season,is_rainy,rain_category
2021-01-01,0.0,-1.5,318,11.133857442348008,,35.3712050492,2021,January,1,Friday,4,False,Winter,False,Dry
2021-01-02,0.0,0.7,830,9.607168674698794,,31.738787296,2021,January,1,Saturday,5,True,Winter,False,Dry
2021-01-03,0.0,-2.8,640,10.577734375,,45.6041179447,2021,January,1,Sunday,6,True,Winter,False,Dry
2021-01-04,0.0,-4.6,1254,8.849242424242425,,78.1310325488,2021,January,1,Monday,0,False,Winter,False,Dry
2021-01-05,0.0,-4.1,1368,9.36507066276803,,76.2038888854,2021,January,1,Tuesday,1,False,Winter,False,Dry
2021-01-06,0.0,-5.2,1219,9.03885698660104,,75.6357005358,2021,January,1,Wednesday,2,False,Winter,False,Dry
2021-01-07,0.0,-1.3,1341,8.890169028088492,,54.0005123989,2021,January,1,Thursday,3,False,Winter,False,Dry
2021-01-08,0.0,-2.3,1451,9.112692396048702,,70.1755845735,2021,January,1,Friday,4,False,Winter,False,Dry
2021-01-09,0.0,1.1,902,9.412527716186252,,9.7349588767,2021,January,1,Saturday,5,True,Winter,False,Dry
2021-01-10,15.4,0.4,238,11.449719887955181,,20.1499480304,2021,January,1,Sunday,6,True,Winter,True,Moderate
2021-01-11,8.4,-2.1,552,10.135990338164252,,81.0491471112,2021,January,1,Monday,0,False,Winter,True,Moderate
2021-01-12,0.9,-0.7,530,9.969591194968553,,50.2591606552,2021,January,1,Tuesday,1,False,Winter,True,Light
2021-01-13,3.5,-1.5,549,9.625804493017608,,41.6710151881,2021,January,1,Wednesday,2,False,Winter,True,Light
2021-01-14,0.0,-4.7,561,9.849910873440285,,90.3802306696,2021,January,1,Thursday,3,False,Winter,False,Dry
2021-01-15,0.0,-5.6,504,10.284722222222221,,80.5595247509,2021,January,1,Friday,4,False,Winter,False,Dry
2021-01-16,0.0,-1.1,417,9.473461231015188,,29.715998218,2021,January,1,Saturday,5,True,Winter,False,Dry
2021-01-17,1.2,2.3,307,9.33555917480999,,7.707500553,2021,January,1,Sunday,6,True,Winter,True,Light
2021-01-18,6.5,3.0,741,9.0231893837157,,28.0801629384,2021,January,1,Monday,0,False,Winter,True,Moderate
2021-01-19,9.0,2.5,1108,9.50218110709988,,38.3110669426,2021,January,1,Tuesday,1,False,Winter,True,Moderate
2021-01-20,0.1,3.8,1176,9.080102040816326,,41.7822366007,2021,January,1,Wednesday,2,False,Winter,True,Light
2021-01-21,12.7,6.9,1555,9.204608788853161,,21.3703848373,2021,January,1,Thursday,3,False,Winter,True,Moderate
2021-01-22,4.9,3.9,1349,9.602952804546577,,37.4999558622,2021,January,1,Friday,4,False,Winter,True,Light
2021-01-23,38.7,2.7,945,9.774091710758377,,11.1658092452,2021,January,1,Saturday,5,True,Winter,True,Heavy
2021-01-24,3.5,1.0,706,10.305878186968839,,23.9019101326,2021,January,1,Sunday,6,True,Winter,True,Light
2021-01-25,0.0,-1.9,1443,9.024809424809424,,74.9517441563,2021,January,1,Monday,0,False,Winter,False,Dry
2021-01-26,2.3,-1.0,1071,9.124214130096483,,54.2025330953,2021,January,1,Tuesday,1,False,Winter,True,Light
2021-01-27,0.3,-4.6,1120,8.507797619047619,,79.003125837,2021,January,1,Wednesday,2,False,Winter,True,Light
2021-01-28,0.0,-3.6,979,9.328430371127,,53.5635536582,2021,January,1,Thursday,3,False,Winter,False,Dry
2021-01-29,1.3,-1.6,1060,8.786713836477986,,62.0457553462,2021,January,1,Friday,4,False,Winter,True,Light
2021-01-30,0.4,-0.4,712,9.498338014981274,,32.0481839727,2021,January,1,Saturday,5,True,Winter,True,Light
2021-01-31,3.3,-1.1,279,10.340143369175628,,29.2248924481,2021,January,1,Sunday,6,True,Winter,True,Light
2021-02-01,5.5,-5.2,539,10.434291898577612,,94.907942682,2021,February,2,Monday,0,False,Winter,True,Moderate
2021-02-02,0.0,-4.9,677,9.79027572624323,,89.249963035,2021,February,2,Tuesday,1,False,Winter,False,Dry
2021-02-03,0.0,-6.9,745,9.33427293064877,,87.0650442536,2021,February,2,Wednesday,2,False,Winter,False,Dry
2021-02-04,0.0,-6.0,724,9.037476979742173,,64.0604350457,2021,February,2,Thursday,3,False,Winter,False,Dry
2021-02-05,0.7,-6.3,683,11.101952171791117,,73.9912861036,2021,February,2,Friday,4,False,Winter,True,Light
2021-02-06,0.0,-6.5,544,8.993382352941175,,68.9770432139,2021,February,2,Saturday,5,True,Winter,False,Dry
2021-02-07,0.0,-7.5,395,9.698776371308018,,67.5068341178,2021,February,2,Sunday,6,True,Winter,False,Dry
2021-02-08,0.0,-5.6,466,9.603898426323319,,67.0164960328,2021,February,2,Monday,0,False,Winter,False,Dry
2021-02-09,0.0,-5.4,531,9.635718769617075,,40.2341868434,2021,February,2,Tuesday,1,False,Winter,False,Dry
2021-02-10,0.0,-6.7,534,9.417915106117354,,85.5298556689,2021,February,2,Wednesday,2,False,Winter,False,Dry
2021-02-11,0.0,-4.9,577,9.292980935875217,,71.9611159128,2021,February,2,Thursday,3,False,Winter,False,Dry
2021-02-12,0.0,-7.6,539,8.983704390847247,,99.3998212825,2021,February,2,Friday,4,False,Winter,False,Dry
2021-02-13,0.0,-6.0,394,9.434052453468698,,81.2482403265,2021,February,2,Saturday,5,True,Winter,False,Dry
2021-02-14,0.0,1.8,343,10.414285714285715,,11.8542588184,2021,February,2,Sunday,6,True,Winter,False,Dry
2021-02-15,0.0,3.2,754,9.067484526967286,,19.4828875053,2021,February,2,Monday,0,False,Winter,False,Dry
2021-02-16,0.3,4.4,895,9.481694599627561,,35.7238823814,2021,February,2,Tuesday,1,False,Winter,True,Light
2021-02-17,2.2,4.7,1270,8.98244094488189,,35.5759047476,2021,February,2,Wednesday,2,False,Winter,True,Light
2021-02-18,3.2,7.3,1216,9.613212719298245,,9.9478320174,2021,February,2,Thursday,3,False,Winter,True,Light
2021-02-19,1.3,6.3,1292,8.983010835913312,,16.1261184166,2021,February,2,Friday,4,False,Winter,True,Light
2021-02-20,12.7,7.9,667,10.144552723638181,,12.2249868629,2021,February,2,Saturday,5,True,Winter,True,Moderate
2021-02-21,20.3,8.8,899,12.43177604746014,,10.0014114305,2021,February,2,Sunday,6,True,Winter,True,Heavy
2021-02-22,0.0,7.8,1298,8.574306625577812,,34.7825995378,2021,February,2,Monday,0,False,Winter,False,Dry
